9767,38,2024-08-06T23:48:36.095157,15,21,c630147b-f7c7-4c8c-9368-3424bc115ec9,94553137,378,109
1803,18,2024-04-11T15:34:12.542206,18,98,402f7950-3d91-4496-a8fb-fa805ba1b62c,12837431,88,348
2902,24,2024-08-26T08:51:04.446458,16,77,a551f6e6-18f0-4316-8bd6-24b70d6cedf2,52065714,232,66
3421,42,2024-01-16T23:03:09.998798,20,79,691722af-56bc-4805-ac47-05a699207ea7,11285347,223,313
8302,17,2024-05-21T02:39:22.061274,18,27,16fe5e3a-c696-41f8-a2a5-9a2e0bfe3c0c,35370061,174,430
4824,40,2024-09-25T02:28:43.853581,7,24,a78fe10a-538a-4262-9af3-75f768da56b4,30424651,302,107
2930,7,2024-06-12T15:04:33.196781,5,7,686c7c0c-dc68-4189-9d35-9011ace2877c,62712877,87,311
1004,33,2024-10-03T17:46:12.198376,5,52,b79add91-5fb6-4ef8-ad71-aae910802d53,58075034,199,382
9219,40,2024-03-27T08:35:57.272407,9,25,b864ed08-a383-466d-a0de-e8395abfacb2,58327315,477,141
3830,21,2024-08-13T07:05:45.395202,9,80,6c1123cf-8a74-4b7d-be9a-5d7577b8dc31,57603715,186,355
6372,38,2024-03-31T06:25:32.097875,18,16,69b318f6-646c-47da-8d7e-c3a87ceba31f,71289805,400,6
1423,3,2024-07-11T05:32:10.928755,7,80,b597d305-775d-42f2-9ccd-7c928df3f6b3,36485197,219,198
5285,5,2024-08-18T10:33:25.434283,19,49,a6b0d5a0-6b60-4a8b-94eb-d96b50920b82,23031054,144,426
7199,12,2024-11-20T08:01:49.534744,2,75,67b6db2c-2593-4ffc-a497-891e9c8bab67,90223039,273,219
8085,9,2024-10-20T14:12:39.138675,20,14,dc9c6a56-68fe-45d2-b9a7-32f5cb07cf01,41567310,164,72
1121,44,2024-01-31T14:13:28.099390,18,52,84b2f173-b36f-4700-a7a5-be476a3fc055,24930642,379,298
2911,2,2024-03-22T13:01:05.974454,12,16,061dc9c4-47a7-42fb-9da7-8849aa06a532,14424289,245,18
