1363,15,2024-02-18T00:20:28.448991,13,41,13e6dab8-faba-4731-8f81-8e3d49627717,40109096,449,153
3351,10,2024-04-05T18:32:15.843264,5,36,11300683-d476-494f-bce7-ad28b797db7b,11764300,453,255
9523,28,2024-07-06T00:29:48.513608,14,3,94151edd-8cb3-4c88-b795-cb01ae354995,44812947,242,487
8199,49,2024-07-09T07:15:09.771620,10,29,0e158f83-dce0-42f0-8e6c-ceb4e056df49,31037266,370,60
1160,4,2024-06-09T07:55:34.771912,7,10,f46125a6-e224-45b8-9b46-c30e0c3fbbde,47471109,327,10
7293,22,2024-11-16T20:13:35.940809,3,50,0054ad9f-49d9-46a6-a1ae-c5d7a9ac5843,23847728,142,10
7510,3,2024-07-05T18:56:57.170282,6,19,cdd1f4bd-843c-4a1b-8ff3-1f17103d69c7,81527919,258,418
3564,48,2024-07-07T06:15:45.562261,1,50,dd1de572-a8ed-4b0c-be07-fc9ca5273256,39297674,349,433
2026,44,2024-04-02T11:42:54.958175,5,87,15c511c4-42d7-4f9c-a478-44997408b2a0,80314214,284,103
7471,13,2024-06-08T12:46:58.008862,3,96,d3cd6c7f-6a3f-46aa-a713-d7378479aa9c,97059123,108,451
4601,14,2024-07-17T00:13:03.986341,3,2,bc91b499-ebae-4122-b8d9-8405824a9fc3,53664925,149,490
2424,34,2024-05-31T19:39:09.195485,6,81,8822895e-92b3-4772-9087-aecf1cb9c12b,51803464,323,400
4681,1,2024-11-27T10:25:20.449863,13,62,941ab8e2-f1b8-407a-8e4c-a04e858751c5,13027151,246,184
7516,44,2024-08-27T21:07:05.237792,11,23,d501bff1-4ed5-4fb8-a996-e30c866cdf7e,94344004,79,32
4784,13,2024-09-28T08:09:35.408172,9,34,01846bea-e84e-4f67-852d-f67d0787db5d,47727142,416,227
7855,37,2024-10-30T17:57:57.860722,4,20,0de83f63-93c0-46c8-b58a-a4bee24b8d97,35880290,360,451
8890,6,2024-10-13T22:57:07.160748,5,91,10a4c202-6505-48ee-beaa-3048aa835ab8,63842305,12,480
8419,18,2024-01-23T21:42:12.780205,15,96,8d063130-9a13-4c04-9c0b-8c85bce90fff,77682236,124,191
2550,1,2024-05-28T10:48:44.328710,12,19,d4ff1f6f-51f9-47ae-8ffc-a420b8c872ae,72659945,406,291
8919,36,2024-01-13T10:16:40.436258,7,88,37f3eafa-7e02-43b0-b9ec-a58143aad332,94321711,325,452
8049,48,2024-01-21T12:21:39.132209,5,84,85493483-50e2-4d97-8f29-58a3b73eb9a2,80127033,389,379
5138,42,2024-07-31T07:09:07.405292,11,95,4a3249c8-e033-4f29-abed-cf588db94329,40507119,241,473
2943,29,2024-04-19T22:54:16.487978,3,3,c1cec04a-4697-4385-bc2a-aac43d931860,17671201,154,246
5251,5,2024-10-26T06:40:26.974098,11,35,25738dfd-c334-4de5-b0a1-f872b56f5011,26252372,402,299
2897,39,2024-01-30T15:24:52.692761,20,91,fe7e72f6-d51a-4440-9579-0e10c2e1d182,16402393,244,282
3336,14,2024-04-17T23:56:17.022206,3,90,5d566df9-d59e-4fce-b1f2-370f66e83853,96109916,414,107
8856,42,2024-01-05T17:11:33.666703,19,26,bd8ba5ca-5bee-4a41-aaec-e113bf21731e,48779838,400,491
1637,30,2024-01-23T01:26:51.144431,14,42,211c2277-02bc-465d-9d0f-f27068ce9fe2,41383292,437,80
3366,50,2024-07-10T05:05:03.719388,8,16,4c1afefe-0528-4764-b567-148c009a2b82,41208910,313,297
8942,42,2024-04-12T06:23:53.061888,15,2,3898fc3b-9d82-4c31-818c-cb6404f7f384,83050270,38,445
8775,41,2024-06-28T00:53:18.887313,15,7,a9d343d0-7df5-40c8-8ea1-b14e9289d1db,46852600,456,102
